=== handoff === (p_drop fixed at 0.04)
  ratio=0.00 p_dup=0.0000  empty=10/50  mixed=23/50  runaway=17/50  avg_share=51%
  ratio=0.25 p_dup=0.0100  empty= 6/50  mixed=31/50  runaway=13/50  avg_share=55%
  ratio=0.50 p_dup=0.0200  empty= 2/50  mixed=43/50  runaway= 5/50  avg_share=52%
  ratio=0.75 p_dup=0.0300  empty= 0/50  mixed=46/50  runaway= 4/50  avg_share=48%
  ratio=1.00 p_dup=0.0400  empty= 0/50  mixed=50/50  runaway= 0/50  avg_share=41%
  ratio=1.25 p_dup=0.0500  empty= 0/50  mixed=50/50  runaway= 0/50  avg_share=38%
  ratio=1.50 p_dup=0.0600  empty= 0/50  mixed=50/50  runaway= 0/50  avg_share=35%
  ratio=1.75 p_dup=0.0700  empty= 0/50  mixed=50/50  runaway= 0/50  avg_share=34%
  ratio=2.00 p_dup=0.0800  empty= 0/50  mixed=50/50  runaway= 0/50  avg_share=29%

=== flat === (p_drop fixed at 0.04)
  ratio=0.00 p_dup=0.0000  empty=17/50  mixed=14/50  runaway=19/50  avg_share=53%
  ratio=0.25 p_dup=0.0100  empty= 9/50  mixed=27/50  runaway=14/50  avg_share=56%
  ratio=0.50 p_dup=0.0200  empty= 6/50  mixed=29/50  runaway=15/50  avg_share=61%
  ratio=0.75 p_dup=0.0300  empty= 3/50  mixed=34/50  runaway=13/50  avg_share=62%
  ratio=1.00 p_dup=0.0400  empty= 3/50  mixed=43/50  runaway= 4/50  avg_share=55%
  ratio=1.25 p_dup=0.0500  empty= 1/50  mixed=46/50  runaway= 3/50  avg_share=56%
  ratio=1.50 p_dup=0.0600  empty= 0/50  mixed=48/50  runaway= 2/50  avg_share=54%
  ratio=1.75 p_dup=0.0700  empty= 0/50  mixed=48/50  runaway= 2/50  avg_share=47%
  ratio=2.00 p_dup=0.0800  empty= 0/50  mixed=50/50  runaway= 0/50  avg_share=45%

=== no_repeats === (p_drop fixed at 0.04)
  ratio=0.00 p_dup=0.0000  empty=32/50  mixed= 6/50  runaway=12/50  avg_share=30%
  ratio=0.25 p_dup=0.0100  empty=14/50  mixed=10/50  runaway=26/50  avg_share=63%
  ratio=0.50 p_dup=0.0200  empty= 9/50  mixed=22/50  runaway=19/50  avg_share=63%
  ratio=0.75 p_dup=0.0300  empty= 7/50  mixed=30/50  runaway=13/50  avg_share=62%
  ratio=1.00 p_dup=0.0400  empty= 3/50  mixed=36/50  runaway=11/50  avg_share=64%
  ratio=1.25 p_dup=0.0500  empty= 2/50  mixed=39/50  runaway= 9/50  avg_share=59%
  ratio=1.50 p_dup=0.0600  empty= 1/50  mixed=44/50  runaway= 5/50  avg_share=58%
  ratio=1.75 p_dup=0.0700  empty= 1/50  mixed=47/50  runaway= 2/50  avg_share=53%
  ratio=2.00 p_dup=0.0800  empty= 1/50  mixed=47/50  runaway= 2/50  avg_share=51%

