original word: remembered
shadow at pass 3, dawn at pass 20, 40 passes
pass, rule_rate, record_damage, word
1, 0.004, 0.000, remembered
2, 0.004, 0.000, remembered
3, 0.045, 0.000, remembered
4, 0.065, 0.000, remembered
5, 0.085, 0.100, rhmembered
6, 0.105, 0.200, rhmeubered
7, 0.125, 0.600, rhmeubred
8, 0.145, 0.600, rhmeubred
9, 0.165, 0.600, rhmeubreb
10, 0.185, 0.600, rfmebreb
11, 0.205, 0.900, rmebren
12, 0.225, 1.000, amebbrdn
13, 0.245, 0.800, aameyyrdn
14, 0.265, 0.800, almeyyrd
15, 0.285, 1.000, amepyqd
16, 0.300, 1.000, arepyqd
17, 0.300, 0.900, aarecyyqh
18, 0.300, 1.000, ayyype
19, 0.300, 1.000, ayyppd
20, 0.004, 1.000, ayyppd
21, 0.004, 1.000, ayyppd
22, 0.004, 1.000, ayyppd
23, 0.004, 1.000, ayyppd
24, 0.004, 1.000, ayyppd
25, 0.004, 0.900, aymppd
26, 0.004, 0.900, aymppd
27, 0.004, 0.900, aymppd
28, 0.004, 0.900, aymppd
29, 0.004, 0.900, aymppd
30, 0.004, 0.900, aymppd
31, 0.004, 0.900, aymppd
32, 0.004, 0.900, aymppd
33, 0.004, 0.900, aymppd
34, 0.004, 0.900, aymppd
35, 0.004, 0.900, aymppd
36, 0.004, 0.900, aymppd
37, 0.004, 0.900, aymppd
38, 0.004, 0.900, aymppy
39, 0.004, 0.900, aymppy
40, 0.004, 0.900, aymppy
